brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color
lenovo,Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop<br> Product Id: 33.01.200.965,Intel Celeron,Intel,Not Applicable,4,128,False,True,-1,34500,10.1,HD,Mineral Grey
hp,HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB  256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1490,AMD Athlon,AMD,Not Applicable,8,256,True,False,-1,46500,15.6,FHD,Silver
acer,"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1029",Intel Core i3,Intel,13th,8,512,True,False,-1,49800,15.6,FHD,Pure Silver
lenovo,Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1009,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,-1,49900,15.6,FHD,Cloud Grey
lenovo,Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1036,Intel Core i3,Intel,11th,4,256,True,False,-1,51400,15.6,FHD,Arctic Grey
acer,Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027<br> Product Id: 33.01.002.1035,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,-1,53000,15.6,FHD,Pure Silver
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop<br> Product Id: 33.01.200.1093,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,-1,53400,15.6,FHD,Sand
hp,HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop<br> Product Id: 33.01.020.1464,Intel Core i3,Intel,12th,4,256,True,False,-1,56500,15.6,FHD,Black
acer,Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.996,Intel Core i3,Intel,12th,8,512,True,False,-1,57000,15.6,FHD,Pure Silver
acer,"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024<br> Product Id: 33.01.002.1030",Intel Core i3,Intel,12th,8,512,True,False,-1,57500,15.6,FHD,Pure Silver
huawei,Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.03.487.06,Intel Core i3,Intel,11th,8,256,True,False,-1,60500,15.6,FHD,Silver
dell,Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop<br> Product Id: 33.01.013.1625,Intel Core i3,Intel,12th,8,512,True,False,-1,60500,15.6,FHD,Platinum Silver
acer,Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1021,AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,-1,61000,15.6,FHD,Titanium Gray
acer,Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop<br> Product Id: 33.01.002.999,Intel Core i3,Intel,13th,8,512,True,False,-1,61500,15.6,FHD,Steel Gray
acer,Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1020,Intel Core i5,Intel,11th,8,512,True,False,-1,61500,15.6,FHD,Titanium Gray
asus,Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop<br> Product Id: 33.01.006.1628,Intel Core i3,Intel,11th,8,1024,False,True,-1,62800,15.6,FHD WV,Indie Black
hp,HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1465,Intel Core i3,Intel,12th,8,512,True,False,-1,63500,15.6,FHD,Silver
asus,Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop<br> Product Id: 33.01.006.1718,Intel Core i3,Intel,12th,4,256,True,False,-1,63900,15.6,FHD,Terra Cotta
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop<br> Product Id: 33.01.006.1660,Intel Core i5,Intel,11th,4,1024,False,True,-1,68500,15.6,FHD,Peacock Blue
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA<br> Product Id: 33.01.006.1661,Intel Core i5,Intel,11th,4,1024,False,True,-1,68500,15.6,FHD,Slate Grey
acer,Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1000,Intel Core i5,Intel,12th,8,512,True,False,-1,71500,15.6,FHD,Pure Silver
dell,Dell Latitude 15-3520 Intel Core i5 1135G7 8GB RAM 256GB SSD 15.6 Inch HD Display Black Laptop<br> Product Id: 33.01.013.1657,Intel Core i5,Intel,11th,8,256,True,False,-1,73500,15.6,HD,Black
huawei,Huawei MateBook D 15 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.03.487.04,Intel Core i5,Intel,11th,8,512,True,False,-1,76000,15.6,FHD,Silver
huawei,Huawei MateBook B3-520 Intel Core i5 1135G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Space Gray Laptop<br> Product Id: 33.03.487.09,Intel Core i5,Intel,11th,8,512,True,False,-1,76000,15.6,FHD,Space Gray
acer,"Acer Swift Go 14 SFG14-41-R5RB AMD Ryzen 5 7530U 8GB RAM, 512GB SSD 14 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1024",AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,-1,77000,14.0,FHD,Pure Silver
acer,Acer TravelMate P214-53-72WA Intel Core i7 1165G7 8GB RAM 512GB SSD 14 Inch FHD Display Shale Black Laptop<br> Product Id: 33.01.002.966,Intel Core i7,Intel,11th,8,512,True,False,-1,82500,14.0,FHD,Shale Black
lenovo,Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 7730U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop<br> Product Id: 33.01.200.1090,AMD Ryzen 7,AMD,Not Applicable,8,512,True,False,-1,83000,15.6,FHD IPS,Arctic Grey
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare Display Arctic Grey Laptop #82H803EUIN-2Y<br> Product Id: 33.01.200.1087,Intel Core i7,Intel,11th,8,512,True,False,-1,88000,15.6,FHD,Arctic Grey
dell,Dell Inspiron 15 3525 AMD Ryzen 7 5825U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop<br> Product Id: 33.01.013.1633,AMD Ryzen 7,AMD,Not Applicable,8,512,True,False,-1,88500,15.6,FHD,Platinum Silver
msi,MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop<br> Product Id: 33.01.033.1245,Intel Core i7,Intel,11th,8,512,True,False,-1,89500,15.6,FHD,Carbon Gray
msi,MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop<br> Product Id: 33.01.033.1255,Intel Core i7,Intel,11th,8,512,True,False,-1,95000,14.0,FHD,Classic Black
lenovo,Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop<br> Product Id: 33.01.200.1055,Intel Core i7,Intel,11th,8,512,True,False,-1,95500,15.6,FHD,Abyss Blue
