brand_name,name,processor_type,processor_brand,generations,ram,storage_capacity_gb,have_ssd,have_hdd,graphics_capacity,price,display_size_inch,display_type,color,brand_name_encoded,processor_type_encoded,processor_brand_encoded,generations_encoded,display_type_encoded,color_encoded,storage_type,storage_type_encoded,is_gaming,price_category,Hierarchical,DBSCAN_Original,DBSCAN_UMAP,DBSCAN_PCA
lenovo,Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop<br> Product Id: 33.01.200.965,Intel Celeron,Intel,Not Applicable,4,128,False,True,0,34500,10.1,HD,Mineral Grey,10,8,2,4,8,41,HDD,0,0,0,4,3,0,0
hp,HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB  256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1490,AMD Athlon,AMD,Not Applicable,8,256,True,False,0,46500,15.6,FHD,Silver,7,0,0,4,3,67,SSD,1,0,0,1,0,1,1
acer,"Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.1029",Intel Core i3,Intel,13th,8,512,True,False,0,49800,15.6,FHD,Pure Silver,0,10,2,3,3,60,SSD,1,0,0,4,1,2,0
lenovo,Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop<br> Product Id: 33.01.200.1009,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,49900,15.6,FHD,Cloud Grey,10,1,0,4,3,16,SSD,1,0,0,1,0,1,1
lenovo,Lenovo IdeaPad Slim 3i 15ITL 11th Gen Intel Core i3 1115G4 4GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop<br> Product Id: 33.01.200.1036,Intel Core i3,Intel,11th,4,256,True,False,0,51400,15.6,FHD,Arctic Grey,10,10,2,1,3,3,SSD,1,0,0,4,1,3,0
acer,Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027<br> Product Id: 33.01.002.1035,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53000,15.6,FHD,Pure Silver,0,1,0,4,3,60,SSD,1,0,0,1,0,1,1
lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop<br> Product Id: 33.01.200.1093,AMD Ryzen 3,AMD,Not Applicable,8,512,True,False,0,53400,15.6,FHD,Sand,10,1,0,4,3,63,SSD,1,0,0,1,0,1,1
hp,HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop<br> Product Id: 33.01.020.1464,Intel Core i3,Intel,12th,4,256,True,False,0,56500,15.6,FHD,Black,7,10,2,2,3,9,SSD,1,0,0,4,1,2,0
acer,Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop<br> Product Id: 33.01.002.996,Intel Core i3,Intel,12th,8,512,True,False,0,57000,15.6,FHD,Pure Silver,0,10,2,2,3,60,SSD,1,0,0,4,1,2,0
acer,"Acer Aspire 3 A315-59-332B Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop #NX.K6TSI.00H/UN.K6TSI.024<br> Product Id: 33.01.002.1030",Intel Core i3,Intel,12th,8,512,True,False,0,57500,15.6,FHD,Pure Silver,0,10,2,2,3,60,SSD,1,0,0,4,1,2,0
huawei,Huawei MateBook D 15 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.03.487.06,Intel Core i3,Intel,11th,8,256,True,False,0,60500,15.6,FHD,Silver,8,10,2,1,3,67,SSD,1,0,0,4,1,3,0
dell,Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Platinum Silver Laptop<br> Product Id: 33.01.013.1625,Intel Core i3,Intel,12th,8,512,True,False,0,60500,15.6,FHD,Platinum Silver,5,10,2,2,3,58,SSD,1,0,0,4,1,2,0
acer,Acer Aspire Lite AL15-41 AMD Ryzen 5 5500U 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1021,AMD Ryzen 5,AMD,Not Applicable,8,512,True,False,0,61000,15.6,FHD,Titanium Gray,0,2,0,4,3,84,SSD,1,0,0,1,0,1,1
acer,Acer Aspire 5 5P-A515-58P Intel Core i3 1305U 8GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop<br> Product Id: 33.01.002.999,Intel Core i3,Intel,13th,8,512,True,False,0,61500,15.6,FHD,Steel Gray,0,10,2,3,3,77,SSD,1,0,0,4,1,2,0
acer,Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop<br> Product Id: 33.01.002.1020,Intel Core i5,Intel,11th,8,512,True,False,0,61500,15.6,FHD,Titanium Gray,0,11,2,1,3,84,SSD,1,0,0,4,1,2,0
asus,Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD WV Display Indie Black Laptop<br> Product Id: 33.01.006.1628,Intel Core i3,Intel,11th,8,1024,False,True,0,62800,15.6,FHD WV,Indie Black,2,10,2,1,7,31,HDD,0,0,0,4,3,1,0
hp,HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop<br> Product Id: 33.01.020.1465,Intel Core i3,Intel,12th,8,512,True,False,0,63500,15.6,FHD,Silver,7,10,2,2,3,67,SSD,1,0,0,4,1,2,0
asus,Asus VivoBook 15 X1502ZA Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop<br> Product Id: 33.01.006.1718,Intel Core i3,Intel,12th,4,256,True,False,0,63900,15.6,FHD,Terra Cotta,2,10,2,2,3,82,SSD,1,0,0,4,1,2,0
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop<br> Product Id: 33.01.006.1660,Intel Core i5,Intel,11th,4,1024,False,True,0,68500,15.6,FHD,Peacock Blue,2,11,2,1,3,51,HDD,0,0,0,4,3,1,0
asus,Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA<br> Product Id: 33.01.006.1661,Intel Core i5,Intel,11th,4,1024,False,True,0,68500,15.6,FHD,Slate Grey,2,11,2,1,3,68,HDD,0,0,0,4,3,1,0
