               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1108,            0.049481,                   0,           0.0069231,                0.75,            0.019394,           0.0035249,             0.11922,             0.03033,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11191,            0.047246,                   0,           0.0079487,             0.86111,            0.039442,           0.0086786,              0.1115,            0.031658,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.10569,            0.059903,                   0,            0.013227,             0.83333,             0.07993,            0.019589,            0.096977,            0.033187,                   0,             0.08196,           0.0019604,           0.0019604
                   3,            0.098444,            0.053654,                   0,            0.012922,             0.88889,             0.10754,            0.029626,             0.08964,             0.03433,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.09702,            0.058954,                   0,             0.11604,             0.91667,             0.39466,              0.1036,             0.07689,            0.037428,                   0,            0.069265,           0.0032654,           0.0032654
                   5,            0.085223,            0.048644,                   0,             0.37837,                0.75,             0.65353,              0.1508,            0.074208,            0.035577,                   0,            0.062897,            0.003897,            0.003897
                   6,            0.087035,            0.065453,                   0,             0.37837,                0.75,             0.65353,              0.1508,            0.074208,            0.035577,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.088573,            0.051611,                   0,             0.35316,             0.69444,             0.40258,            0.093583,            0.075307,            0.033205,                   0,            0.050119,           0.0051188,           0.0051188
                   8,            0.087871,            0.059751,                   0,             0.54182,             0.77778,             0.66798,             0.19692,            0.072095,            0.031865,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.078836,            0.063226,                   0,             0.54182,             0.77778,             0.66798,             0.19692,            0.072095,            0.031865,                   0,            0.037285,           0.0062852,           0.0062852
                  10,            0.072122,            0.044654,                   0,             0.54526,                0.75,             0.65225,             0.25059,            0.069518,            0.029966,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.080088,            0.054359,                   0,             0.54526,                0.75,             0.65225,             0.25059,            0.069518,            0.029966,                   0,            0.024396,           0.0073961,           0.0073961
                  12,             0.07302,            0.052061,                   0,             0.69538,             0.72222,              0.7426,             0.27343,            0.067408,            0.027992,                   0,            0.017931,           0.0079308,           0.0079308
                  13,            0.071128,            0.048428,                   0,             0.69538,             0.72222,              0.7426,             0.27343,            0.067408,            0.027992,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.068597,            0.052703,                   0,             0.64397,             0.65335,             0.68924,               0.228,            0.069423,            0.025844,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.076233,            0.050482,                   0,             0.64397,             0.65335,             0.68924,               0.228,            0.069423,            0.025844,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.067531,            0.046981,                   0,             0.12885,             0.38889,             0.11521,            0.050477,            0.089738,             0.02909,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.077173,             0.02798,                   0,             0.12885,             0.38889,             0.11521,            0.050477,            0.089738,             0.02909,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.082973,            0.056313,                   0,             0.12885,             0.38889,             0.11521,            0.050477,            0.089738,             0.02909,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.089023,            0.046067,                   0,             0.16203,             0.38889,             0.13491,             0.05331,            0.092312,            0.030094,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.08745,            0.040767,                   0,             0.16203,             0.38889,             0.13491,             0.05331,            0.092312,            0.030094,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.08454,            0.040954,                   0,             0.27535,             0.63889,              0.2877,             0.13313,            0.080969,            0.024516,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.076964,            0.042566,                   0,             0.27535,             0.63889,              0.2877,             0.13313,            0.080969,            0.024516,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.076857,            0.040109,                   0,             0.29981,             0.44014,             0.34387,             0.11796,            0.079835,            0.021404,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.078065,            0.040537,                   0,             0.29981,             0.44014,             0.34387,             0.11796,            0.079835,            0.021404,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.081143,            0.042898,                   0,             0.47519,             0.83004,              0.5355,             0.22256,             0.07628,            0.019187,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.081012,            0.035096,                   0,             0.47519,             0.83004,              0.5355,             0.22256,             0.07628,            0.019187,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.074021,            0.033485,                   0,             0.47519,             0.83004,              0.5355,             0.22256,             0.07628,            0.019187,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.073083,            0.040201,                   0,             0.58815,             0.72222,             0.64666,             0.29036,            0.070687,            0.020225,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.07014,            0.041278,                   0,             0.58815,             0.72222,             0.64666,             0.29036,            0.070687,            0.020225,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.068416,             0.02966,                   0,             0.54686,             0.53654,             0.61669,             0.26502,            0.072334,            0.020495,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.070767,            0.037735,                   0,             0.54686,             0.53654,             0.61669,             0.26502,            0.072334,            0.020495,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.072691,            0.033886,                   0,             0.40128,             0.80556,             0.59839,             0.26827,             0.06706,            0.019647,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.06351,             0.04783,                   0,             0.40128,             0.80556,             0.59839,             0.26827,             0.06706,            0.019647,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.066875,             0.03843,                   0,             0.40128,             0.80556,             0.59839,             0.26827,             0.06706,            0.019647,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.06937,            0.042179,                   0,             0.40716,             0.88889,             0.61475,             0.30482,            0.067802,             0.01912,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.06764,            0.036419,                   0,             0.40716,             0.88889,             0.61475,             0.30482,            0.067802,             0.01912,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.061194,            0.032211,                   0,             0.67213,             0.83333,             0.68322,             0.34114,            0.059439,            0.018831,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.058354,            0.043122,                   0,             0.67213,             0.83333,             0.68322,             0.34114,            0.059439,            0.018831,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.054092,            0.037933,                   0,             0.56485,                0.75,             0.59513,             0.29527,            0.061759,            0.018009,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.064544,            0.028719,                   0,             0.56485,                0.75,             0.59513,             0.29527,            0.061759,            0.018009,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.061946,            0.033493,                   0,             0.63418,             0.69444,              0.6283,             0.23784,            0.067897,            0.017132,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.068246,            0.035925,                   0,             0.63418,             0.69444,              0.6283,             0.23784,            0.067897,            0.017132,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.075359,             0.03978,                   0,             0.63418,             0.69444,              0.6283,             0.23784,            0.067897,            0.017132,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.067461,            0.027965,                   0,             0.39566,                0.75,             0.49728,             0.20724,            0.066548,            0.017186,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.068944,            0.031501,                   0,             0.39566,                0.75,             0.49728,             0.20724,            0.066548,            0.017186,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.066563,            0.042688,                   0,              0.7429,                0.75,             0.70096,              0.3253,            0.059858,            0.016724,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.058966,              0.0379,                   0,              0.7429,                0.75,             0.70096,              0.3253,            0.059858,            0.016724,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.060775,            0.030797,                   0,             0.93335,             0.69444,             0.84696,             0.46314,            0.058843,            0.016426,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.063796,            0.033372,                   0,             0.93335,             0.69444,             0.84696,             0.46314,            0.058843,            0.016426,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.059173,            0.033084,                   0,             0.93335,             0.69444,             0.84696,             0.46314,            0.058843,            0.016426,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.064053,            0.032974,                   0,             0.80071,             0.66667,             0.77488,              0.2437,            0.063153,            0.016461,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.067458,            0.028858,                   0,             0.80071,             0.66667,             0.77488,              0.2437,            0.063153,            0.016461,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.059312,            0.035501,                   0,             0.67886,             0.70482,             0.80111,             0.35038,            0.055147,            0.016429,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.055539,            0.030672,                   0,             0.67886,             0.70482,             0.80111,             0.35038,            0.055147,            0.016429,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.055159,            0.036955,                   0,             0.59025,             0.83333,             0.75696,               0.461,              0.0549,            0.016217,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.053324,            0.028229,                   0,             0.59025,             0.83333,             0.75696,               0.461,              0.0549,            0.016217,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.052195,             0.03418,                   0,             0.62264,             0.82512,             0.69528,             0.46151,            0.054297,            0.016232,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.053018,             0.03851,                   0,             0.62264,             0.82512,             0.69528,             0.46151,            0.054297,            0.016232,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.050278,            0.024856,                   0,             0.62264,             0.82512,             0.69528,             0.46151,            0.054297,            0.016232,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.053112,            0.030019,                   0,             0.52417,             0.83333,             0.64444,             0.43321,            0.054166,            0.016204,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.049341,            0.026088,                   0,             0.52417,             0.83333,             0.64444,             0.43321,            0.054166,            0.016204,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.046511,            0.033532,                   0,             0.78537,             0.66667,             0.81707,             0.48846,            0.049313,            0.016303,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.045975,            0.024061,                   0,             0.78537,             0.66667,             0.81707,             0.48846,            0.049313,            0.016303,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.050766,            0.035902,                   0,             0.77092,             0.66667,             0.77225,             0.49309,            0.049428,            0.015902,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.047021,            0.030192,                   0,             0.77092,             0.66667,             0.77225,             0.49309,            0.049428,            0.015902,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.053337,            0.039013,                   0,             0.77092,             0.66667,             0.77225,             0.49309,            0.049428,            0.015902,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.056269,            0.037406,                   0,              0.5807,             0.88486,             0.67733,             0.42397,            0.052389,            0.015763,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.055301,            0.034711,                   0,              0.5807,             0.88486,             0.67733,             0.42397,            0.052389,            0.015763,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.053227,             0.02932,                   0,             0.67457,             0.86375,             0.74638,             0.46862,            0.048413,            0.015578,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.044787,            0.033783,                   0,             0.67457,             0.86375,             0.74638,             0.46862,            0.048413,            0.015578,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.049163,              0.0378,                   0,             0.70228,             0.85196,             0.79119,             0.51633,            0.048145,              0.0157,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.048645,            0.029453,                   0,             0.70228,             0.85196,             0.79119,             0.51633,            0.048145,              0.0157,                   0,            0.002971,            0.002971,            0.002971
